B,G,R,Target
50,128,37,Hijau
47,125,35,Hijau
50,130,38,Hijau
50,130,38,Hijau
50,129,37,Hijau
50,131,38,Hijau
54,135,40,Hijau
56,139,42,Hijau
55,139,42,Hijau
56,139,43,Hijau
57,139,43,Hijau
56,139,41,Hijau
57,138,42,Hijau
58,141,42,Hijau
54,139,41,Hijau
57,140,42,Hijau
55,138,40,Hijau
56,138,40,Hijau
56,139,41,Hijau
55,137,40,Hijau
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
0,0,0,hitam
